AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-881,16:01:03.91,26:10:20.7,79,V,7.886,0.032,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,B,8.327,0.047,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,Rc,7.633,0.034,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,Ic,7.392,0.038,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,J,7.044,0.007,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,H,6.884,0.025,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,K,6.845,0.009,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,V,8.361,0.021,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,B,8.861,0.043,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,Rc,8.066,0.028,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,Ic,7.777,0.032,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,J,7.434,0.029,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,H,7.139,0.031,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,K,7.165,0.025,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-787,15:57:54.56,25:45:29.9,93,V,9.307,0.036,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,B,10.744,0.056,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,Rc,8.52,0.04,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,Ic,7.813,0.041,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,J,6.731,0.015,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,H,5.991,0.009,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,K,5.839,0.011,NSV 7370 - CST.
000-BBW-796,15:58:28.42,25:56:30.9,98,V,9.809,0.023,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,B,10.843,0.027,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,Rc,9.269,0.032,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,Ic,8.772,0.034,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,J,7.995,0.015,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,H,7.48,0.027,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,K,7.384,0.015,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-779,15:57:40.02,26:06:18.8,102,V,10.167,0.01,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,B,10.753,0.048,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,Rc,9.825,0.021,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,Ic,9.487,0.025,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,J,9.06,0.013,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,H,8.745,0.026,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,K,8.705,0.022,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BJS-901,15:59:26.42,26:08:47.1,106,V,10.554,0.023,
000-BJS-901,15:59:26.42,26:08:47.1,106,B,11.096,0.044,
000-BJS-901,15:59:26.42,26:08:47.1,106,Rc,10.24,0.025,
000-BJS-901,15:59:26.42,26:08:47.1,106,Ic,9.934,0.028,
000-BJS-901,15:59:26.42,26:08:47.1,106,SG,10.847,0.205,
000-BJS-901,15:59:26.42,26:08:47.1,106,SR,10.427,0.071,
000-BJS-901,15:59:26.42,26:08:47.1,106,SI,10.25,0.097,
000-BBW-782,15:57:51.04,26:15:51.2,107,V,10.736,0.024,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,B,11.328,0.048,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,Rc,10.376,0.025,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,Ic,10.034,0.028,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,J,9.539,0.018,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,H,9.243,0.015,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,K,9.168,0.018,GSC 02037-01130 - CST.
000-BBW-805,15:58:51.22,25:50:05.0,112,V,11.166,0.019,
000-BBW-805,15:58:51.22,25:50:05.0,112,U,11.946,0.027,
000-BBW-805,15:58:51.22,25:50:05.0,112,B,11.779,0.021,
000-BBW-805,15:58:51.22,25:50:05.0,112,Rc,10.766,0.02,
000-BBW-805,15:58:51.22,25:50:05.0,112,Ic,10.452,0.024,
000-BBW-805,15:58:51.22,25:50:05.0,112,J,9.995,0.02,
000-BBW-805,15:58:51.22,25:50:05.0,112,H,9.725,0.028,
000-BBW-805,15:58:51.22,25:50:05.0,112,K,9.659,0.02,
000-BPC-198,15:59:34.20,25:44:17.3,124,V,12.366,0.014,
000-BPC-198,15:59:34.20,25:44:17.3,124,B,13.079,0.028,
000-BPC-198,15:59:34.20,25:44:17.3,124,Rc,11.927,0.03,
000-BPC-198,15:59:34.20,25:44:17.3,124,Ic,11.553,0.031,
000-BPC-228,15:59:12.10,25:48:16.3,135,V,13.477,0.066,
000-BPC-228,15:59:12.10,25:48:16.3,135,B,14.548,0.07,
000-BPC-228,15:59:12.10,25:48:16.3,135,Rc,12.892,0.069,
000-BPC-228,15:59:12.10,25:48:16.3,135,Ic,12.42,0.071,
000-BPC-218,15:59:41.28,25:53:35.4,138,V,13.791,0.061,
000-BPC-218,15:59:41.28,25:53:35.4,138,B,14.765,0.069,
000-BPC-218,15:59:41.28,25:53:35.4,138,Rc,13.247,0.064,
000-BPC-218,15:59:41.28,25:53:35.4,138,Ic,12.749,0.066,
000-BPC-229,15:59:28.42,25:52:11.3,143,V,14.342,0.056,
000-BPC-229,15:59:28.42,25:52:11.3,143,B,15.295,0.076,
000-BPC-229,15:59:28.42,25:52:11.3,143,Rc,13.807,0.061,
000-BPC-229,15:59:28.42,25:52:11.3,143,Ic,13.344,0.069,
